# justacolumn,1.0,1.0,20.0,testlonginterval,tim cook,jeff bezos,1000
date,time,depth,drill,pressure,stroke,wc,cementAmount,flowRate
23-09-2020,11:57:13.450,0.0,0.0,758.301,0.0,water,0.0,0.0
23-09-2020,11:57:14.456,0.0,0.0,758.057,0.0,water,0.0,0.0
23-09-2020,11:57:15.378,0.0,0.0,758.301,0.0,water,0.0,0.0
23-09-2020,11:57:16.375,0.0,0.0,252.686,0.0,water,0.0,0.0
23-09-2020,11:57:17.418,0.0,0.0,252.197,0.0,water,0.0,0.0
23-09-2020,11:57:18.395,0.0,0.0,252.441,0.0,water,0.0,0.0
23-09-2020,11:57:19.432,0.0,0.0,249.756,0.0,water,0.0,0.0
23-09-2020,11:57:20.384,0.0,0.0,0.0,0.0,water,0.0,0.0
23-09-2020,11:57:21.372,0.0,0.0,0.0,0.0,water,0.0,0.0
23-09-2020,11:57:22.390,0.0,0.0,0.0,0.0,water,0.0,0.0
23-09-2020,11:57:23.449,0.0,0.0,0.0,0.0,water,0.0,0.0
23-09-2020,11:57:24.419,0.0,0.0,0.0,0.0,water,0.0,0.0
23-09-2020,11:57:25.418,0.0,0.0,0.0,0.0,water,0.0,0.0
23-09-2020,11:57:26.360,0.0,0.0,0.0,0.0,water,0.0,0.0
23-09-2020,11:57:27.374,0.0,0.0,0.0,0.0,water,0.0,0.0
23-09-2020,11:57:28.383,0.0,0.0,0.0,17.885,water,0.0,17.885
23-09-2020,11:57:29.352,0.0,0.0,0.0,27.74,water,0.0,27.74
23-09-2020,11:57:30.381,0.0,0.0,0.0,34.018,water,0.0,34.018
23-09-2020,11:57:31.464,0.0,0.0,0.0,34.018,water,0.0,34.018
23-09-2020,11:57:32.425,0.0,0.0,0.0,33.872,water,0.0,33.872
23-09-2020,11:57:33.365,0.0,0.0,0.0,33.215,water,0.0,33.215
23-09-2020,11:57:34.419,0.0,0.0,0.0,34.018,water,0.0,34.018
23-09-2020,11:57:35.364,0.0,0.0,0.0,33.945,water,0.0,33.945
23-09-2020,11:57:36.388,0.0,0.0,0.0,34.018,water,0.0,34.018
23-09-2020,11:57:37.484,0.0,0.0,0.0,33.945,water,0.0,33.945
23-09-2020,11:57:38.473,0.0,0.0,0.0,34.967,water,0.0,34.967
23-09-2020,11:57:39.452,0.0,0.0,0.0,33.799,water,0.0,33.799
23-09-2020,11:57:40.439,0.0,0.0,0.0,34.091,water,0.0,34.091
23-09-2020,11:57:41.396,0.0,6.1,0.0,33.069,water,0.0,33.069
23-09-2020,11:57:42.443,0.0,6.1,0.0,34.018,water,0.0,34.018
23-09-2020,11:57:43.448,0.0,6.1,0.0,34.018,water,0.0,34.018
23-09-2020,11:57:44.371,0.0,6.1,0.0,33.142,water,0.0,33.142
23-09-2020,11:57:45.403,0.0,6.1,0.0,32.923,water,0.0,32.923
23-09-2020,11:57:46.433,0.0,6.1,0.0,33.069,water,0.0,33.069
23-09-2020,11:57:47.400,0.0,6.1,0.0,32.777,water,0.0,32.777
23-09-2020,11:57:48.393,0.36,6.1,0.0,32.996,water,0.0,32.996
23-09-2020,11:57:49.400,0.58,6.1,0.0,32.777,water,0.0,32.777
23-09-2020,11:57:50.356,0.58,6.1,0.0,34.018,water,0.0,34.018
23-09-2020,11:57:51.448,0.58,6.1,252.197,33.069,water,0.0,33.069
23-09-2020,11:57:52.423,0.58,6.1,252.441,33.288,water,0.0,33.288
23-09-2020,11:57:53.475,0.58,6.1,252.441,32.996,water,0.0,32.996
23-09-2020,11:57:54.433,1.08,6.1,252.441,34.091,water,0.0,34.091
23-09-2020,11:57:55.360,1.27,6.4,252.441,34.018,water,0.0,34.018
23-09-2020,11:57:56.441,1.27,6.4,252.441,35.332,water,0.0,35.332
23-09-2020,11:57:57.368,1.33,6.4,252.441,34.821,water,0.0,34.821
23-09-2020,11:57:58.475,1.9,6.4,252.441,34.164,water,0.0,34.164
